timestamp,sample_index,top_features
72,72,"current (0.37), vibration (0.37)"
138,138,"temperature (0.81), vibration (0.18)"
321,321,"current (0.41), vibration (0.41)"
422,422,"current (0.94), vibration (0.05)"
434,434,"vibration (0.99), current (0.01)"
586,586,"current (0.93), temperature (0.06)"
627,627,"current (0.37), temperature (0.37)"
789,789,"current (0.81), vibration (0.19)"
880,880,"temperature (0.38), vibration (0.32)"
1003,1003,"current (0.55), temperature (0.40)"
1134,1134,"temperature (0.94), current (0.05)"
1228,1228,"vibration (0.84), temperature (0.15)"
1254,1254,"temperature (0.41), current (0.33)"
1322,1322,"vibration (0.68), temperature (0.22)"
1437,1437,"vibration (0.61), temperature (0.39)"
1684,1684,"current (0.56), temperature (0.22)"
1746,1746,"temperature (0.47), current (0.34)"
1756,1756,"vibration (0.87), current (0.13)"
1795,1795,"vibration (0.47), temperature (0.36)"
1815,1815,"temperature (0.67), current (0.19)"
1819,1819,"current (0.60), temperature (0.24)"
1880,1880,"temperature (0.48), current (0.30)"
2041,2041,"vibration (0.54), current (0.45)"
2071,2071,"vibration (0.60), current (0.22)"
2474,2474,"vibration (0.48), current (0.43)"
2481,2481,"current (0.75), temperature (0.14)"
2530,2530,"current (0.50), temperature (0.36)"
2559,2559,"current (0.63), temperature (0.28)"
2833,2833,"vibration (0.59), temperature (0.40)"
2873,2873,"vibration (0.67), temperature (0.28)"
2917,2917,"temperature (0.60), current (0.29)"
3024,3024,"vibration (0.63), current (0.23)"
3127,3127,"current (0.50), temperature (0.33)"
3151,3151,"vibration (0.53), current (0.46)"
3222,3222,"temperature (0.53), vibration (0.47)"
3343,3343,"current (0.41), temperature (0.32)"
3449,3449,"vibration (0.62), current (0.38)"
3831,3831,"temperature (0.47), current (0.27)"
3891,3891,"vibration (0.55), temperature (0.45)"
4140,4140,"current (0.63), temperature (0.25)"
4375,4375,"vibration (0.52), temperature (0.39)"
4473,4473,"temperature (0.57), vibration (0.33)"
4556,4556,"vibration (0.56), temperature (0.31)"
4707,4707,"temperature (0.64), vibration (0.36)"
4868,4868,"vibration (0.44), current (0.33)"
5031,5031,"current (0.99), temperature (0.00)"
5180,5180,"temperature (0.53), current (0.24)"
5268,5268,"current (0.60), vibration (0.39)"
5415,5415,"current (0.44), vibration (0.32)"
5513,5513,"vibration (0.44), temperature (0.30)"
5527,5527,"temperature (0.52), current (0.48)"
5777,5777,"current (0.77), vibration (0.16)"
5997,5997,"vibration (0.53), current (0.39)"
6193,6193,"vibration (0.77), temperature (0.23)"
6391,6391,"temperature (0.60), vibration (0.35)"
6483,6483,"vibration (0.48), current (0.33)"
6588,6588,"vibration (0.61), temperature (0.30)"
6873,6873,"temperature (0.56), vibration (0.27)"
7045,7045,"temperature (0.51), vibration (0.47)"
7431,7431,"current (0.75), temperature (0.20)"
7521,7521,"current (0.51), vibration (0.49)"
7533,7533,"vibration (0.53), current (0.47)"
7644,7644,"current (0.74), vibration (0.21)"
7747,7747,"vibration (0.70), temperature (0.29)"
7766,7766,"temperature (0.93), current (0.04)"
8076,8076,"temperature (0.42), vibration (0.31)"
8094,8094,"current (0.72), temperature (0.27)"
8680,8680,"current (0.66), vibration (0.34)"
8766,8766,"current (0.48), temperature (0.46)"
8898,8898,"vibration (0.43), temperature (0.34)"
8949,8949,"temperature (0.97), vibration (0.02)"
8998,8998,"temperature (0.45), vibration (0.44)"
9528,9528,"temperature (0.58), vibration (0.37)"
10189,10189,"current (0.97), vibration (0.03)"
10707,10707,"current (0.57), vibration (0.33)"
10722,10722,"current (0.54), temperature (0.26)"
10876,10876,"vibration (0.51), current (0.35)"
11072,11072,"temperature (0.72), current (0.26)"
11086,11086,"temperature (0.69), vibration (0.31)"
11222,11222,"temperature (0.43), current (0.43)"
11413,11413,"current (0.59), vibration (0.39)"
11527,11527,"vibration (0.44), current (0.37)"
11640,11640,"vibration (0.82), current (0.15)"
12089,12089,"temperature (0.98), vibration (0.02)"
12704,12704,"current (0.56), vibration (0.36)"
12719,12719,"current (0.64), temperature (0.24)"
12730,12730,"temperature (0.52), vibration (0.31)"
12737,12737,"vibration (0.46), current (0.45)"
13485,13485,"temperature (0.72), current (0.21)"
13529,13529,"current (0.52), temperature (0.38)"
14229,14229,"current (0.57), temperature (0.39)"
14869,14869,"vibration (0.74), current (0.19)"
15025,15025,"current (0.75), temperature (0.23)"
15388,15388,"vibration (0.41), temperature (0.30)"
15638,15638,"temperature (0.56), current (0.32)"
16132,16132,"vibration (0.56), current (0.43)"
16148,16148,"current (0.69), temperature (0.30)"
16634,16634,"current (0.65), vibration (0.35)"
17502,17502,"temperature (0.61), current (0.36)"
19312,19312,"temperature (0.69), current (0.30)"
19664,19664,"temperature (0.96), current (0.03)"
19668,19668,"current (0.90), temperature (0.09)"
19848,19848,"temperature (0.91), vibration (0.08)"
20363,20363,"temperature (0.97), current (0.02)"
20557,20557,"temperature (0.65), vibration (0.18)"
20705,20705,"temperature (0.97), vibration (0.02)"
20811,20811,"temperature (0.48), vibration (0.33)"
20989,20989,"temperature (0.87), vibration (0.12)"
72,72,"current (0.37), vibration (0.37)"
138,138,"temperature (0.81), vibration (0.18)"
321,321,"current (0.41), vibration (0.41)"
422,422,"current (0.94), vibration (0.05)"
434,434,"vibration (0.99), current (0.01)"
586,586,"current (0.93), temperature (0.06)"
627,627,"current (0.37), temperature (0.37)"
789,789,"current (0.81), vibration (0.19)"
880,880,"temperature (0.38), vibration (0.32)"
1003,1003,"current (0.55), temperature (0.40)"
1134,1134,"temperature (0.94), current (0.05)"
1228,1228,"vibration (0.84), temperature (0.15)"
1254,1254,"temperature (0.41), current (0.33)"
1322,1322,"vibration (0.68), temperature (0.22)"
1437,1437,"vibration (0.61), temperature (0.39)"
1684,1684,"current (0.56), temperature (0.22)"
1746,1746,"temperature (0.47), current (0.34)"
1756,1756,"vibration (0.87), current (0.13)"
1795,1795,"vibration (0.47), temperature (0.36)"
1815,1815,"temperature (0.67), current (0.19)"
1819,1819,"current (0.60), temperature (0.24)"
1880,1880,"temperature (0.48), current (0.30)"
2041,2041,"vibration (0.54), current (0.45)"
2071,2071,"vibration (0.60), current (0.22)"
2474,2474,"vibration (0.48), current (0.43)"
2481,2481,"current (0.75), temperature (0.14)"
2530,2530,"current (0.50), temperature (0.36)"
2559,2559,"current (0.63), temperature (0.28)"
2833,2833,"vibration (0.59), temperature (0.40)"
2873,2873,"vibration (0.67), temperature (0.28)"
2917,2917,"temperature (0.60), current (0.29)"
3024,3024,"vibration (0.63), current (0.23)"
3127,3127,"current (0.50), temperature (0.33)"
3151,3151,"vibration (0.53), current (0.46)"
3222,3222,"temperature (0.53), vibration (0.47)"
3343,3343,"current (0.41), temperature (0.32)"
3449,3449,"vibration (0.62), current (0.38)"
3831,3831,"temperature (0.47), current (0.27)"
3891,3891,"vibration (0.55), temperature (0.45)"
4140,4140,"current (0.63), temperature (0.25)"
4375,4375,"vibration (0.52), temperature (0.39)"
4473,4473,"temperature (0.57), vibration (0.33)"
4556,4556,"vibration (0.56), temperature (0.31)"
4707,4707,"temperature (0.64), vibration (0.36)"
4868,4868,"vibration (0.44), current (0.33)"
5031,5031,"current (0.99), temperature (0.00)"
5180,5180,"temperature (0.53), current (0.24)"
5268,5268,"current (0.60), vibration (0.39)"
5415,5415,"current (0.44), vibration (0.32)"
5513,5513,"vibration (0.44), temperature (0.30)"
5527,5527,"temperature (0.52), current (0.48)"
5777,5777,"current (0.77), vibration (0.16)"
5997,5997,"vibration (0.53), current (0.39)"
6193,6193,"vibration (0.77), temperature (0.23)"
6391,6391,"temperature (0.60), vibration (0.35)"
6483,6483,"vibration (0.48), current (0.33)"
6588,6588,"vibration (0.61), temperature (0.30)"
6873,6873,"temperature (0.56), vibration (0.27)"
7045,7045,"temperature (0.51), vibration (0.47)"
7431,7431,"current (0.75), temperature (0.20)"
7521,7521,"current (0.51), vibration (0.49)"
7533,7533,"vibration (0.53), current (0.47)"
7644,7644,"current (0.74), vibration (0.21)"
7747,7747,"vibration (0.70), temperature (0.29)"
7766,7766,"temperature (0.93), current (0.04)"
8076,8076,"temperature (0.42), vibration (0.31)"
8094,8094,"current (0.72), temperature (0.27)"
8680,8680,"current (0.66), vibration (0.34)"
8766,8766,"current (0.48), temperature (0.46)"
8898,8898,"vibration (0.43), temperature (0.34)"
8949,8949,"temperature (0.97), vibration (0.02)"
8998,8998,"temperature (0.45), vibration (0.44)"
9528,9528,"temperature (0.58), vibration (0.37)"
10189,10189,"current (0.97), vibration (0.03)"
10707,10707,"current (0.57), vibration (0.33)"
10722,10722,"current (0.54), temperature (0.26)"
10876,10876,"vibration (0.51), current (0.35)"
11072,11072,"temperature (0.72), current (0.26)"
11086,11086,"temperature (0.69), vibration (0.31)"
11222,11222,"temperature (0.43), current (0.43)"
11413,11413,"current (0.59), vibration (0.39)"
11527,11527,"vibration (0.44), current (0.37)"
11640,11640,"vibration (0.82), current (0.15)"
12089,12089,"temperature (0.98), vibration (0.02)"
12704,12704,"current (0.56), vibration (0.36)"
12719,12719,"current (0.64), temperature (0.24)"
12730,12730,"temperature (0.52), vibration (0.31)"
12737,12737,"vibration (0.46), current (0.45)"
13485,13485,"temperature (0.72), current (0.21)"
13529,13529,"current (0.52), temperature (0.38)"
14229,14229,"current (0.57), temperature (0.39)"
14869,14869,"vibration (0.74), current (0.19)"
15025,15025,"current (0.75), temperature (0.23)"
15388,15388,"vibration (0.41), temperature (0.30)"
15638,15638,"temperature (0.56), current (0.32)"
16132,16132,"vibration (0.56), current (0.43)"
16148,16148,"current (0.69), temperature (0.30)"
16634,16634,"current (0.65), vibration (0.35)"
17502,17502,"temperature (0.61), current (0.36)"
19312,19312,"temperature (0.69), current (0.30)"
19664,19664,"temperature (0.96), current (0.03)"
19668,19668,"current (0.90), temperature (0.09)"
19848,19848,"temperature (0.91), vibration (0.08)"
20363,20363,"temperature (0.97), current (0.02)"
20557,20557,"temperature (0.65), vibration (0.18)"
20705,20705,"temperature (0.97), vibration (0.02)"
20811,20811,"temperature (0.48), vibration (0.33)"
20989,20989,"temperature (0.87), vibration (0.12)"
72,72,"current (0.38), vibration (0.34)"
321,321,"current (0.41), vibration (0.38)"
346,346,"current (0.50), vibration (0.39)"
422,422,"current (0.85), vibration (0.11)"
434,434,"vibration (0.92), current (0.06)"
586,586,"current (0.86), temperature (0.13)"
627,627,"current (0.38), temperature (0.36)"
789,789,"current (0.70), vibration (0.20)"
864,864,"vibration (0.41), current (0.30)"
880,880,"temperature (0.36), current (0.33)"
1003,1003,"current (0.52), temperature (0.38)"
1228,1228,"vibration (0.77), temperature (0.20)"
1254,1254,"temperature (0.39), current (0.35)"
1322,1322,"vibration (0.59), temperature (0.23)"
1684,1684,"current (0.53), temperature (0.26)"
1746,1746,"temperature (0.44), current (0.36)"
1795,1795,"vibration (0.43), temperature (0.35)"
1815,1815,"temperature (0.56), current (0.23)"
1819,1819,"current (0.56), temperature (0.25)"
1880,1880,"temperature (0.45), current (0.32)"
2041,2041,"vibration (0.48), current (0.44)"
2060,2060,"current (0.54), vibration (0.28)"
2071,2071,"vibration (0.53), current (0.26)"
2210,2210,"current (0.60), temperature (0.24)"
2474,2474,"vibration (0.44), current (0.42)"
2481,2481,"current (0.69), temperature (0.17)"
2530,2530,"current (0.49), temperature (0.35)"
2559,2559,"current (0.60), temperature (0.28)"
2622,2622,"temperature (0.43), vibration (0.30)"
2917,2917,"temperature (0.53), current (0.32)"
3024,3024,"vibration (0.56), current (0.27)"
3127,3127,"current (0.49), temperature (0.32)"
3151,3151,"vibration (0.50), current (0.47)"
3343,3343,"current (0.42), temperature (0.32)"
3831,3831,"temperature (0.43), current (0.30)"
4140,4140,"current (0.57), temperature (0.25)"
4251,4251,"current (0.42), temperature (0.40)"
4375,4375,"vibration (0.48), temperature (0.37)"
4473,4473,"temperature (0.51), vibration (0.32)"
4556,4556,"vibration (0.50), temperature (0.31)"
4707,4707,"temperature (0.60), vibration (0.36)"
4868,4868,"vibration (0.40), current (0.35)"
5031,5031,"current (0.83), temperature (0.09)"
5055,5055,"vibration (0.40), current (0.32)"
5180,5180,"temperature (0.48), current (0.28)"
5268,5268,"current (0.59), vibration (0.38)"
5415,5415,"current (0.44), vibration (0.31)"
5513,5513,"vibration (0.42), temperature (0.30)"
5527,5527,"current (0.50), temperature (0.50)"
5777,5777,"current (0.69), vibration (0.18)"
5997,5997,"vibration (0.47), current (0.39)"
6391,6391,"temperature (0.54), vibration (0.33)"
6483,6483,"vibration (0.44), current (0.35)"
6588,6588,"vibration (0.53), temperature (0.34)"
6873,6873,"temperature (0.51), vibration (0.27)"
7045,7045,"temperature (0.48), vibration (0.44)"
7431,7431,"current (0.68), temperature (0.22)"
7521,7521,"current (0.52), vibration (0.47)"
7533,7533,"vibration (0.49), current (0.48)"
7644,7644,"current (0.67), vibration (0.23)"
7746,7746,"current (0.53), temperature (0.26)"
7997,7997,"current (0.58), temperature (0.33)"
8076,8076,"temperature (0.40), vibration (0.31)"
8094,8094,"current (0.67), temperature (0.29)"
8267,8267,"temperature (0.41), vibration (0.31)"
8680,8680,"current (0.64), vibration (0.34)"
8766,8766,"current (0.47), temperature (0.43)"
8898,8898,"vibration (0.40), temperature (0.33)"
8998,8998,"temperature (0.42), vibration (0.40)"
9483,9483,"current (0.41), temperature (0.38)"
10189,10189,"current (0.79), vibration (0.14)"
10525,10525,"current (0.55), temperature (0.41)"
10530,10530,"current (0.60), vibration (0.27)"
10707,10707,"current (0.54), vibration (0.32)"
10722,10722,"current (0.49), temperature (0.27)"
10876,10876,"vibration (0.46), current (0.37)"
11072,11072,"temperature (0.63), current (0.30)"
11222,11222,"current (0.43), temperature (0.41)"
11413,11413,"current (0.54), vibration (0.35)"
11527,11527,"vibration (0.41), current (0.38)"
12089,12089,"temperature (0.80), current (0.10)"
12611,12611,"current (0.81), temperature (0.16)"
12704,12704,"current (0.54), vibration (0.34)"
12719,12719,"current (0.60), temperature (0.25)"
12730,12730,"temperature (0.48), vibration (0.30)"
12737,12737,"current (0.43), vibration (0.41)"
12744,12744,"current (0.63), temperature (0.24)"
13485,13485,"temperature (0.60), current (0.25)"
13529,13529,"current (0.48), temperature (0.36)"
14229,14229,"current (0.52), temperature (0.35)"
14869,14869,"vibration (0.61), current (0.24)"
15025,15025,"current (0.69), temperature (0.28)"
15388,15388,"vibration (0.39), current (0.31)"
15638,15638,"temperature (0.50), current (0.34)"
16148,16148,"current (0.65), temperature (0.30)"
16288,16288,"current (0.83), vibration (0.16)"
16321,16321,"current (0.58), temperature (0.23)"
16634,16634,"current (0.63), vibration (0.35)"
17502,17502,"temperature (0.54), current (0.37)"
18787,18787,"current (0.47), vibration (0.30)"
19312,19312,"temperature (0.65), current (0.33)"
19664,19664,"temperature (0.76), current (0.13)"
19668,19668,"current (0.80), temperature (0.18)"
19848,19848,"temperature (0.80), vibration (0.13)"
20557,20557,"temperature (0.56), vibration (0.22)"
20811,20811,"temperature (0.44), vibration (0.32)"
21534,21534,"temperature (0.42), vibration (0.29)"
21568,21568,"vibration (0.49), temperature (0.43)"
72,72,"current (0.38), vibration (0.34)"
321,321,"current (0.41), vibration (0.38)"
346,346,"current (0.50), vibration (0.39)"
422,422,"current (0.85), vibration (0.11)"
434,434,"vibration (0.92), current (0.06)"
586,586,"current (0.86), temperature (0.13)"
627,627,"current (0.38), temperature (0.36)"
789,789,"current (0.70), vibration (0.20)"
864,864,"vibration (0.41), current (0.30)"
880,880,"temperature (0.36), current (0.33)"
1003,1003,"current (0.52), temperature (0.38)"
1228,1228,"vibration (0.77), temperature (0.20)"
1254,1254,"temperature (0.39), current (0.35)"
1322,1322,"vibration (0.59), temperature (0.23)"
1684,1684,"current (0.53), temperature (0.26)"
1746,1746,"temperature (0.44), current (0.36)"
1795,1795,"vibration (0.43), temperature (0.35)"
1815,1815,"temperature (0.56), current (0.23)"
1819,1819,"current (0.56), temperature (0.25)"
1880,1880,"temperature (0.45), current (0.32)"
2041,2041,"vibration (0.48), current (0.44)"
2060,2060,"current (0.54), vibration (0.28)"
2071,2071,"vibration (0.53), current (0.26)"
2210,2210,"current (0.60), temperature (0.24)"
2474,2474,"vibration (0.44), current (0.42)"
2481,2481,"current (0.69), temperature (0.17)"
2530,2530,"current (0.49), temperature (0.35)"
2559,2559,"current (0.60), temperature (0.28)"
2622,2622,"temperature (0.43), vibration (0.30)"
2917,2917,"temperature (0.53), current (0.32)"
3024,3024,"vibration (0.56), current (0.27)"
3127,3127,"current (0.49), temperature (0.32)"
3151,3151,"vibration (0.50), current (0.47)"
3343,3343,"current (0.42), temperature (0.32)"
3831,3831,"temperature (0.43), current (0.30)"
4140,4140,"current (0.57), temperature (0.25)"
4251,4251,"current (0.42), temperature (0.40)"
4375,4375,"vibration (0.48), temperature (0.37)"
4473,4473,"temperature (0.51), vibration (0.32)"
4556,4556,"vibration (0.50), temperature (0.31)"
4707,4707,"temperature (0.60), vibration (0.36)"
4868,4868,"vibration (0.40), current (0.35)"
5031,5031,"current (0.83), temperature (0.09)"
5055,5055,"vibration (0.40), current (0.32)"
5180,5180,"temperature (0.48), current (0.28)"
5268,5268,"current (0.59), vibration (0.38)"
5415,5415,"current (0.44), vibration (0.31)"
5513,5513,"vibration (0.42), temperature (0.30)"
5527,5527,"current (0.50), temperature (0.50)"
5777,5777,"current (0.69), vibration (0.18)"
5997,5997,"vibration (0.47), current (0.39)"
6391,6391,"temperature (0.54), vibration (0.33)"
